student_id,gender,program,term,year,campus,unit_code,assignment_1,quiz,mid_exam,practical_test_1,assignment_2,practical_test_2,submission_timeliness,funding_type,attendance,risk/notrisk
P1001,Male,DIT,1,2023,Labasa,411,85,78,82,90,none,none,on time,sponsored,75,1
P1002,Male,DIT,1,2023,Labasa,411,45,42,38,40,none,none,late submission,sponsored,78,0
P1003,Male,DIT,1,2023,Labasa,411,92,88,95,89,none,none,on time,sponsored,75,1
P1004,Male,DIT,1,2023,Labasa,411,67,72,65,70,none,none,on time,sponsored,78,1
P1005,Male,DIT,1,2023,Labasa,411,34,29,31,35,none,none,on time,sponsored,79,1
P1006,Male,DIT,1,2023,Labasa,411,78,85,80,75,none,none,on time,sponsored,76,1
P1007,Male,DIT,1,2023,Labasa,411,56,60,58,62,none,none,on time,sponsored,75,1
P1008,Female,DIT,1,2023,Labasa,411,91,87,93,88,none,none,on time,sponsored,75,1
P1009,Female,DIT,1,2023,Labasa,411,73,76,71,74,none,none,on time,sponsored,75,1
P1010,Female,DIT,1,2023,Labasa,411,48,52,45,50,none,none,on time,sponsored,100,1
P1011,Female,DIT,1,2023,Labasa,411,89,92,86,91,none,none,on time,sponsored,100,1
P1012,Female,DIT,1,2023,Labasa,411,62,58,64,61,none,none,on time,sponsored,100,1
P1013,Female,DIT,1,2023,Labasa,411,37,41,34,39,none,none,late submission,sponsored,100,0
P1014,Male,DIT,1,2023,Labasa,411,84,80,87,83,none,none,on time,sponsored,100,1
P1015,Female,DIT,1,2023,Labasa,411,71,68,74,69,none,none,on time,sponsored,100,1
P1016,Male,DIT,1,2023,Labasa,411,55,59,53,57,none,none,on time,sponsored,100,1
P1017,Male,DIT,1,2023,Labasa,411,93,96,91,94,none,none,on time,sponsored,100,1
P1018,Male,DIT,1,2023,Labasa,411,44,38,46,42,none,none,late submission,sponsored,100,0
P1019,Male,DIT,1,2023,Labasa,413,76,82,78,80,none,none,on time,sponsored,100,1
P1020,Male,DIT,1,2023,Labasa,413,81,79,83,85,none,none,on time,sponsored,75,1
